customer_id,recency,frequency,monetary,avg_basket_size,total_items,discount_usage,returns_ratio,cluster
1,52,34,384.8700009791952,2.7676130972455852,106.23009715663086,0.9492731062456169,0.08315769344048224,1
2,93,45,1157.384192349605,4.051104427699347,191.87603848907747,0.879601496711762,0.17795491885493525,3
3,15,6,331.3032061160763,2.5824132437835323,12.788566210725627,0.9070419604150218,0.36165061114686653,2
4,72,37,973.4541152115655,3.9500419722654785,140.53458009858008,0.9915327758273865,0.07342456891090218,3
5,61,33,511.11231195422107,1.0,21.58999837899932,0.20831539000851795,0.294093380513982,2
6,21,22,841.4724599381944,2.8012249806871554,71.06404953804193,0.35543933736406175,0.2320133353025109,1
7,83,21,570.7708410588419,3.1183441448977627,67.6926508326456,0.6692190299248667,0.01913715092348635,1
8,87,6,715.9463064969383,3.0347080846472516,15.778441354684347,0.48380253986064725,0.2998174022403272,2
9,75,6,241.2689792710652,1.0,3.3094637485349154,0.4183895333783335,0.22493490853313775,0
10,75,48,819.5926354877465,4.804668969646206,251.60590801809863,0.35781124933559305,0.017790223025243572,3
11,88,4,110.50573304459252,1.7179905825428747,6.810345621051916,0.5937806319434522,0.15684658492462905,0
12,24,30,375.3315816097475,3.502555687893701,112.32965012876531,0.575593428640082,0.17614548761962484,3
13,3,11,493.6362943351476,3.0119464239709957,24.862780040833186,0.16145783406424008,0.12867819363220526,0
14,22,30,922.6770643880352,4.505564285716017,98.68101745176882,0.47173983751843906,0.09922824342305042,3
15,53,31,1556.2434781781628,6.281233244061309,171.7673917544691,0.5534717762098499,0.03326178334863302,3
16,2,24,461.59110145277305,1.0644532731857461,25.927628469653673,0.5702869387313905,0.2187214790093806,1
17,88,9,149.62446484029806,2.0266291780912518,21.034277623813935,0.2101071929123518,0.005514643451869812,0
18,30,3,406.55872774337655,3.283638740758578,8.741281742912163,0.7422713922522868,0.15515988640404965,0
19,38,31,181.05005391156118,1.3419700236708125,38.049681309192245,0.025199094821069634,0.10557829255339952,1
20,2,40,870.0681813304273,4.17327391193364,168.41007143271437,0.35483185554316266,0.13829189249228813,3
21,64,37,433.16087357578596,4.265058933235588,150.03803643397384,0.7802126485356335,0.20748345530437007,3
22,60,36,687.443759159224,3.8391736139925556,130.6198707458145,0.5638929210554023,0.09756598798424475,3
